versão=1.0
MG02990002|Crédito por entrada; Outras Apurações; Resp.: Informativo; Apur.: Informativo; Mercadoria; Transf. Crédito.|01012009|
MG41000000|Outros débitos; Op.ST; Resp.: Própria; Apur.: A apurar; Mercadoria; Op. Normal.|01012009|
MG70000001|Débitos especiais; Op.Própria; Resp.: Própria; Apur.: A apurar; Mercadoria; Dif.Alíquota.|01012009|
MG70000004|Débitos especiais; Op.Própria; Resp.: Própria; Apur.: A apurar; Mercadoria; Antecipação Tributária.|01012009|
MG70010001|Débitos especiais; Op.Própria; Resp.: Própria; Apur.: Recolhimento Espontâneo; Mercadoria; Dif.Alíquota.|01012009|
MG70010004|Débitos especiais; Op.Própria; Resp.: Própria; Apur.: Recolhimento Espontâneo; Mercadoria; Antecipação Tributária.|01012009|
MG70010010|Débitos especiais; Op.Própria; Resp.: Própria; Apur.: Recolhimento Espontâneo; Mercadoria; Lançamento extemporâneo.|01012009|
MG70010017|Débitos especiais; Op.Própria; Resp.: Própria; Apur.: Recolhimento Espontâneo; Mercadoria; Importação.|01012009|
MG70010502|Débitos especiais; Op.Própria; Resp.: Própria; Apur.: Recolhimento Espontâneo; Mercadoria; Diferimento.|01012009|
MG70020004|Débitos especiais; Op.Própria; Resp.: Própria; Apur.: Recolhimento por autuação; Mercadoria; Antecipação Tributária.|01012009|
MG70020010|Débitos especiais; Op.Própria; Resp.: Própria; Apur.: Recolhimento por autuação; Mercadoria; Lançamento extemporâneo.|01012009|
MG70020017|Débitos especiais; Op.Própria; Resp.: Própria; Apur.: Recolhimento por autuação; Mercadoria; Importação.|01012009|
MG70020502|Débitos especiais; Op.Própria; Resp.: Própria; Apur.: Recolhimento por autuação; Mercadoria; Diferimento.|01012009|
MG70090017|Débitos especiais; Outras Apurações; Resp.: Própria; Apur.: Informativo; Mercadoria; Importação.|01012009|
MG70110000|Débitos especiais; Op.Própria; Resp.: Solidária; Apur.: Recolhimento Espontâneo; Mercadoria; Op. Normal.|01012009|
MG70120000|Débitos especiais; Op.Própria; Resp.: Solidária; Apur.: Recolhimento por autuação; Mercadoria; Op. Normal.|01012009|
MG71000501|Débitos especiais; Op.ST; Resp.: Própria; Apur.: A apurar; Mercadoria; ST interna.|01012009|
MG71010010|Débitos especiais; Op.ST; Resp.: Própria; Apur.: Recolhimento Espontâneo; Mercadoria; Lançamento extemporâneo.|01012009|
MG71010501|Débitos especiais; Op.ST; Resp.: Própria; Apur.: Recolhimento Espontâneo; Mercadoria; ST interna.|01012009|
MG71020010|Débitos especiais; Op.ST; Resp.: Própria; Apur.: Recolhimento por autuação; Mercadoria; Lançamento extemporâneo.|01012009|
MG71020501|Débitos especiais; Op.ST; Resp.: Própria; Apur.: Recolhimento por autuação; Mercadoria; ST interna.|01012009|
MG71091014|Débitos especiais; Op.ST; Resp.: Própria; Apur.: Informativo; Transporte; ST - Transporte.|01012009|
MG71110000|Débitos especiais; Op.ST; Resp.: Solidária; Apur.: Recolhimento Espontâneo; Mercadoria; Op. Normal.|01012009|
MG71120000|Débitos especiais; Op.ST; Resp.: Solidária; Apur.: Recolhimento por autuação; Mercadoria; Op. Normal.|01012009|
MG90090017|Informativo; Op.Própria; Resp.: Própria; Apur.: Informativo; Mercadoria; Importação.|01012009|
MG90990001|Informativo; Op.Própria; Resp.: Informativo; Apur.: Informativo; Mercadoria; Dif.Alíquota.|01012009|
MG90990007|Informativo; Op.Própria; Resp.: Informativo; Apur.: Informativo; Mercadoria; Desconto - ICMS repassado ao destinatário.|01012009|
MG90990008|Informativo; Op.Própria; Resp.: Informativo; Apur.: Informativo; Mercadoria; Ativo Permanente.|01012009|
MG91001014|Informativo; Op.ST; Resp.: Própria; Apur.: A apurar; Transporte; ST - Transporte.|01012009|
MG91011014|Informativo; Op.ST; Resp.: Própria; Apur.: Recolhimento Espontâneo; Transporte; ST - Transporte.|01012009|
MG91021014|Informativo; Op.ST; Resp.: Própria; Apur.: Recolhimento por autuação; Transporte; ST - Transporte.|01012009|
MG91090501|Informativo; Op.ST; Resp.: Própria; Apur.: Informativo; Mercadoria; ST interna.|01012009|
MG91990005|Informativo; Op.ST; Resp.: Informativo; Apur.: Informativo; Mercadoria; ST - Dif.Aliquota.|01012009|
MG91990006|Informativo; Op.ST; Resp.: Informativo; Apur.: Informativo; Mercadoria; Reembolso Comercial.|01012009|
MG91990011|Informativo; Op.ST; Resp.: Informativo; Apur.: Informativo; Mercadoria; Rest.ICMS/ST - Ressarcimento.|01012009|
MG99990002|Informativo; Informativo; Resp.: Informativo; Apur.: Informativo; Mercadoria; Transf. Crédito.|01012009|
